DATE,SWAP_COUNT,TOTAL_TRADING_VOLUME_USD
2023-06-23 00:00:00.000,194,69223029.61
2023-06-24 00:00:00.000,106,18820899.72
2023-06-25 00:00:00.000,76,14981689.34
2023-06-26 00:00:00.000,162,69822371.15
2023-06-27 00:00:00.000,168,52247970.82
2023-06-28 00:00:00.000,140,41797039.63
2023-06-29 00:00:00.000,128,59028627.12
2023-06-30 00:00:00.000,238,96744543.91
2023-07-01 00:00:00.000,121,28893254.38
2023-07-02 00:00:00.000,82,16426833.13
2023-07-03 00:00:00.000,148,48282050.68
2023-07-04 00:00:00.000,118,37538229.67
2023-07-05 00:00:00.000,131,57720696.13
2023-07-06 00:00:00.000,154,52445041.96
2023-07-07 00:00:00.000,165,45353842.21
2023-07-08 00:00:00.000,95,2159331.54
2023-07-09 00:00:00.000,86,8768888.36
2023-07-10 00:00:00.000,125,60095613.16
2023-07-11 00:00:00.000,123,48674088.2
2023-07-12 00:00:00.000,141,58135999.03
2023-07-13 00:00:00.000,202,77887169.95
2023-07-14 00:00:00.000,191,54296731.96
2023-07-15 00:00:00.000,108,14884973.36
2023-07-16 00:00:00.000,100,7902753.29
2023-07-17 00:00:00.000,138,33518564.49
2023-07-18 00:00:00.000,133,40362866.79
2023-07-19 00:00:00.000,145,34344762.65
2023-07-20 00:00:00.000,115,36752759.34
2023-07-21 00:00:00.000,129,36464228.91
2023-07-22 00:00:00.000,109,11220742.45
2023-07-23 00:00:00.000,55,5227364.15
2023-07-24 00:00:00.000,115,43289493.4
2023-07-25 00:00:00.000,120,49673543.58
2023-07-26 00:00:00.000,120,68762889.53
2023-07-27 00:00:00.000,130,49619407.68
2023-07-28 00:00:00.000,127,65271629.02
2023-07-29 00:00:00.000,84,7694101.71
2023-07-30 00:00:00.000,101,10048343.02
2023-07-31 00:00:00.000,233,79066179.49
2023-08-01 00:00:00.000,218,121348628.59
2023-08-02 00:00:00.000,182,62929328.93
2023-08-03 00:00:00.000,193,62679325.71
2023-08-04 00:00:00.000,282,100620532.61
2023-08-05 00:00:00.000,205,46431727.48
2023-08-06 00:00:00.000,160,39524994.16
2023-08-07 00:00:00.000,318,187061962.06
2023-08-08 00:00:00.000,224,118751244.4
2023-08-09 00:00:00.000,190,66752466.53
2023-08-10 00:00:00.000,169,76729736.25
2023-08-11 00:00:00.000,194,74252903.18
2023-08-12 00:00:00.000,112,23463136.57
2023-08-13 00:00:00.000,116,31477154.55
2023-08-14 00:00:00.000,237,121956806.16
2023-08-15 00:00:00.000,231,83198539.39
2023-08-16 00:00:00.000,166,58126430.61
2023-08-17 00:00:00.000,333,138437874.96
2023-08-18 00:00:00.000,288,156459519.98
2023-08-19 00:00:00.000,119,45147291.98
2023-08-20 00:00:00.000,80,24194083.89
2023-08-21 00:00:00.000,129,71002140.06
2023-08-22 00:00:00.000,192,75449397.99
2023-08-23 00:00:00.000,149,45725174.93
2023-08-24 00:00:00.000,154,52430054.69
2023-08-25 00:00:00.000,127,30843892.11
2023-08-26 00:00:00.000,78,12069746.91
2023-08-27 00:00:00.000,82,8375062.25
2023-08-28 00:00:00.000,142,34673423.91
2023-08-29 00:00:00.000,163,84776471.35
2023-08-30 00:00:00.000,138,43114003.55
2023-08-31 00:00:00.000,134,31953537.23
2023-09-01 00:00:00.000,168,67951702.01
2023-09-02 00:00:00.000,113,35451729.26
2023-09-03 00:00:00.000,74,4802466.96
2023-09-04 00:00:00.000,102,15321619.46
2023-09-05 00:00:00.000,128,36120398.2
2023-09-06 00:00:00.000,139,81778752.89
2023-09-07 00:00:00.000,148,33964853.86
2023-09-08 00:00:00.000,146,29179729.1
2023-09-09 00:00:00.000,76,4716213.45
2023-09-10 00:00:00.000,96,11044919.4
2023-09-11 00:00:00.000,168,50121745.56
2023-09-12 00:00:00.000,194,122885747.27
2023-09-13 00:00:00.000,155,42099416.8
2023-09-14 00:00:00.000,119,30068409.13
2023-09-15 00:00:00.000,178,63635856.63
2023-09-16 00:00:00.000,137,25901180.74
2023-09-17 00:00:00.000,100,14315922.75
2023-09-18 00:00:00.000,149,41745025.45
2023-09-19 00:00:00.000,163,47242014.7
2023-09-20 00:00:00.000,133,39575615.26
2023-09-21 00:00:00.000,130,37887690.36
2023-09-22 00:00:00.000,139,35760066.8
2023-09-23 00:00:00.000,110,24841734.92
2023-09-24 00:00:00.000,82,5517328.65
2023-09-25 00:00:00.000,167,42909000.65
2023-09-26 00:00:00.000,138,38040910.26
2023-09-27 00:00:00.000,170,57100521.4
2023-09-28 00:00:00.000,224,73449016.96
2023-09-29 00:00:00.000,173,25340284.64
2023-09-30 00:00:00.000,147,25107837.69
2023-10-01 00:00:00.000,126,16120923.37
2023-10-02 00:00:00.000,207,45781209.15
2023-10-03 00:00:00.000,167,23698029.46
2023-10-04 00:00:00.000,135,15814754.79
